movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name
halloween ii,Horror,Rob Zombie,Scout Taylor-Compton,Tyler Mane,Margot Kidder
wild,Adventure Biography Drama,Jean-Marc Vallée,Michiel Huisman,Kevin Rankin,Gaby Hoffmann
the last house on the left,Crime Horror Thriller,Dennis Iliadis,Tony Goldwyn,Monica Potter,Martha MacIsaac
the wedding date,Comedy Romance,Clare Kilner,Jack Davenport,Debra Messing,Holland Taylor
halloween: resurrection,Comedy Horror Thriller,Rick Rosenthal,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich
clash of the titans,Action Adventure Fantasy,Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos
the princess bride,Adventure Family Fantasy Romance,Rob Reiner,Robin Wright,Carol Kane,André the Giant
the great debaters,Biography Drama,Denzel Washington,Denzel Washington,Jurnee Smollett-Bell,John Heard
drive,Crime Drama,Nicolas Winding Refn,Ryan Gosling,Albert Brooks,Russ Tamblyn
confessions of a teenage drama queen,Comedy Family Music Romance,Sara Sugarman,Adam Garcia,Carol Kane,Glenne Headly
the object of my affection,Comedy Drama Romance,Nicholas Hytner,Liam Aiken,Tim Daly,Kali Rocha
28 weeks later,Drama Horror Sci-Fi,Juan Carlos Fresnadillo,Jeremy Renner,Harold Perrineau,Catherine McCormack
when the game stands tall,Drama Family Sport,Thomas Carter,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain
because of winn-dixie,Comedy Drama Family,Wayne Wang,Cicely Tyson,Luke Benward,Eva Marie Saint
love & basketball,Drama Romance Sport,Gina Prince-Bythewood,Alfre Woodard,Sanaa Lathan,Omar Epps
grosse pointe blank,Action Comedy Crime Romance Thriller,George Armitage,Minnie Driver,Michael Cudlitz,Mitchell Ryan
all about steve,Comedy Romance,Phil Traill,Bradley Cooper,Katy Mixon,Beth Grant
book of shadows: blair witch 2,Adventure Fantasy Horror Mystery Thriller,Joe Berlinger,Kim Director,Erica Leerhsen,Kurt Loder
the craft,Drama Fantasy Horror Thriller,Andrew Fleming,Christine Taylor,Rachel True,Brenda Strong
match point,Drama Romance Thriller,Woody Allen,Scarlett Johansson,Mark Gatiss,Penelope Wilton
ramona and beezus,Adventure Comedy Family Fantasy,Elizabeth Allen Rosenbaum,Sierra McCormick,Hutch Dano,Jason Spevack
the remains of the day,Drama Romance,James Ivory,Anthony Hopkins,Peter Vaughan,Ben Chaplin
boogie nights,Drama,Paul Thomas Anderson,Don Cheadle,Nicole Ari Parker,Nina Hartley
nowhere to run,Action Crime Drama Romance Thriller,Robert Harmon,Kieran Culkin,Rosanna Arquette,Joss Ackland
flicka,Adventure Drama Family,Michael Mayer,Alison Lohman,Danny Pino,Tim McGraw
the hills have eyes ii,Horror,Martin Weisz,Jeff Kober,Daniella Alonso,Jacob Vargas
urban legends: final cut,Horror Mystery Thriller,John Ottman,Loretta Devine,Joey Lawrence,Jacinda Barrett
tuck everlasting,Drama Family Fantasy Romance,Jay Russell,William Hurt,Sissy Spacek,Jonathan Jackson
the marine,Action Drama Thriller,John Bonito,Kelly Carlson,Firass Dirani,Drew Powell
keanu,Action Comedy,Peter Atencio,Nia Long,Will Forte,Keegan-Michael Key
country strong,Drama Music,Shana Feste,Leighton Meester,Cinda McCain,Tim McGraw
disturbing behavior,Horror Mystery Sci-Fi Thriller,David Nutter,Bruce Greenwood,Ethan Embry,Katharine Isabelle
the place beyond the pines,Crime Drama Thriller,Derek Cianfrance,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza
the november man,Action Crime Thriller,Roger Donaldson,Luke Bracey,Akie Kotabe,Will Patton
eye of the beholder,Drama Mystery Thriller,Stephan Elliott,Jason Priestley,Patrick Bergin,Geneviève Bujold
the hurt locker,Drama History Thriller War,Kathryn Bigelow,Jeremy Renner,Christian Camargo,Brian Geraghty
firestarter,Action Horror Sci-Fi Thriller,Mark L. Lester,Heather Locklear,George C. Scott,David Keith
killing them softly,Crime Thriller,Andrew Dominik,Brad Pitt,Sam Shepard,Ben Mendelsohn
a most wanted man,Crime Drama Thriller,Anton Corbijn,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi
freddy got fingered,Comedy,Tom Green,Rip Torn,Harland Williams,Eddie Kaye Thomas
the pirates who don't do anything: a veggietales movie,Adventure Animation Comedy Family,Mike Nawrocki,Yuri Lowenthal,Cam Clarke,Phil Vischer
u2 3d,Documentary Music,Catherine Owens,Bono,The Edge,Larry Mullen Jr.
highlander: endgame,Action Adventure Fantasy Sci-Fi,Douglas Aarniokoski,Christopher Lambert,Adrian Paul,Adam Copeland
idlewild,Crime Drama Musical Romance,Bryan Barber,Cicely Tyson,Faizon Love,Bobb'e J. Thompson
one day,Drama Romance,Lone Scherfig,Anne Hathaway,Jim Sturgess,Rafe Spall
whip it,Drama Sport,Drew Barrymore,Daniel Stern,Jimmy Fallon,Alia Shawkat
knockaround guys,Crime Drama Thriller,Brian Koppelman,Vin Diesel,Tom Noonan,Kevin Gage
confidence,Crime Thriller,James Foley,Louis Lombardi,Brian Van Holt,Leland Orser
the muse,Comedy,Albert Brooks,Jeff Bridges,Bradley Whitford,Albert Brooks
de-lovely,Biography Drama Music Musical,Irwin Winkler,Kevin McNally,Keith Allen,Sandra Nelson
new york stories,Comedy Drama Romance,Woody Allen,Woody Allen,Larry David,Mia Farrow
barney's great adventure,Adventure Family,Steve Gomer,Trevor Morgan,Kyla Pratt,Shirley Douglas
the man with the iron fists,Action,RZA,Rick Yune,RZA,Daniel Wu
home fries,Comedy Drama Romance,Dean Parisot,Catherine O'Hara,Jake Busey,Shelley Duvall
here on earth,Drama Romance,Mark Piznarski,Bruce Greenwood,Chris Klein,Elaine Hendrix
brazil,Drama Sci-Fi,Terry Gilliam,Robert De Niro,Bob Hoskins,Jim Broadbent
raise your voice,Family Music Romance,Sean McNamara,Oliver James,Rebecca De Mornay,Jason Ritter
the dead zone            ,Drama Fantasy Mystery Sci-Fi,unknown,David Ogden Stiers,Nicole de Boer,Chris Bruno
the big lebowski,Comedy Crime,Joel Coen,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi
black snake moan,Drama Music,Craig Brewer,Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson
dark blue,Crime Drama Romance Thriller,Ron Shelton,Khandi Alexander,Dash Mihok,Michael Michele
a mighty heart,Biography Drama History Thriller War,Michael Winterbottom,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman
whatever it takes,Comedy Drama Romance,David Raynr,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff
boat trip,Comedy,Mort Nathan,Vivica A. Fox,Lin Shaye,Bob Gunton
the importance of being earnest,Comedy Drama Romance,Oliver Parker,Colin Firth,Tom Wilkinson,Rupert Everett
the love letter,Fantasy Romance,Dan Curtis,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons
hoot,Adventure Comedy Family,Wil Shriner,Logan Lerman,Neil Flynn,Tim Blake Nelson
in bruges,Comedy Crime Drama,Martin McDonagh,Elizabeth Berrington,Anna Madeley,Eric Godon
peeples,Comedy Romance,Tina Gordon Chism,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll
the rocker,Comedy Music,Peter Cattaneo,Emma Stone,Bradley Cooper,Josh Gad
post grad,Comedy Romance,Vicky Jenson,J.K. Simmons,Zach Gilford,Bobby Coleman
promised land,Drama,Gus Van Sant,Matt Damon,Hal Holbrook,Terry Kinney
whatever works,Comedy Romance,Woody Allen,Larry David,Michael McKean,Conleth Hill
the in crowd,Drama Mystery Thriller,Mary Lambert,Matthew Settle,Susan Ward,A.J. Buckley
three burials,Adventure Crime Drama Mystery Western,Tommy Lee Jones,Levon Helm,Dwight Yoakam,Guillermo Arriaga
jakob the liar,Drama War,Peter Kassovitz,Robin Williams,Mark Margolis,Michael Jeter
kiss kiss bang bang,Comedy Crime Mystery,Shane Black,Robert Downey Jr.,Corbin Bernsen,Larry Miller
idle hands,Comedy Fantasy Horror Thriller,Rodman Flender,Vivica A. Fox,Fred Willard,Elden Henson
mulholland drive,Drama Mystery Thriller,David Lynch,Naomi Watts,Robert Forster,Laura Harring
blood and chocolate,Drama Fantasy Horror Romance,Katja von Garnier,Olivier Martinez,Agnes Bruckner,Chris Geere
you will meet a tall dark stranger,Comedy Drama Romance,Woody Allen,Anthony Hopkins,Naomi Watts,Ewen Bremner
never let me go,Drama Romance Sci-Fi,Mark Romanek,Andrew Garfield,Charlie Rowe,Charlotte Rampling
the company            ,Drama History Thriller,unknown,Anna Silk,Tom Hollander,Alessandro Nivola
transsiberian,Crime Drama Mystery Thriller,Brad Anderson,Thomas Kretschmann,Eduardo Noriega,Mac McDonald
the clan of the cave bear,Adventure Drama Fantasy,Michael Chapman,Curtis Armstrong,Pamela Reed,Mike Muscat
crazy in alabama,Comedy Crime Drama,Antonio Banderas,Meat Loaf,Elizabeth Perkins,Noah Emmerich
funny games,Crime Drama Horror Thriller,Michael Haneke,Naomi Watts,Siobhan Fallon Hogan,Brady Corbet
listening,Drama Sci-Fi Thriller,Khalil Sullins,Thomas Stroppel,Kalim Chandler,Amber Marie Bollinger
felicia's journey,Drama Thriller,Atom Egoyan,Bob Hoskins,Elaine Cassidy,Gerard McSorley
metropolis,Drama Sci-Fi,Fritz Lang,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge
district b13,Action Crime Thriller,Pierre Morel,David Belle,Cyril Raffaelli,Dany Verissimo-Petit
things to do in denver when you're dead,Crime Drama,Gary Fleder,Steve Buscemi,Bill Cobbs,Treat Williams
the assassin,Action Drama,Hsiao-Hsien Hou,Qi Shu,Chen Chang,Satoshi Tsumabuki
buffalo soldiers,Comedy Crime Drama Thriller War,Gregor Jordan,Dean Stockwell,Scott Glenn,Leon
the return,Drama Mystery Thriller,Andrey Zvyagintsev,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina
ong-bak 2,Action,Tony Jaa,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang
centurion,Action Adventure Drama History Thriller War,Neil Marshall,Michael Fassbender,JJ Feild,Dave Legeno
silent trigger,Action Drama Thriller,Russell Mulcahy,Christopher Heyerdahl,Gina Bellman,Conrad Dunn
the midnight meat train,Fantasy Horror Mystery,Ryûhei Kitamura,Bradley Cooper,Brooke Shields,Leslie Bibb
winnie mandela,Biography Drama History,Darrell Roodt,Jennifer Hudson,Wendy Crewson,Aubrey Poo
the son of no one,Crime Drama Thriller,Dito Montiel,Channing Tatum,Al Pacino,Tracy Morgan
all the queen's men,Action Comedy Drama War,Stefan Ruzowitzky,Eddie Izzard,Udo Kier,Edward Fox
the good night,Comedy Drama Fantasy Music Romance,Jake Paltrow,Stephen Graham,Gael Le Cornec,Keith Allen
bathory: countess of blood,Biography Drama Fantasy History,Juraj Jakubisko,Anna Friel,Hans Matheson,Franco Nero
khumba,Adventure Animation Family,Anthony Silverston,Liam Neeson,Steve Buscemi,Loretta Devine
automata,Action Sci-Fi Thriller,Gabe Ibáñez,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith
dungeons & dragons: wrath of the dragon god,Action Adventure Fantasy,Gerry Lively,Bruce Payne,Lucy Gaskell,Steven Elder
chiamatemi francesco - il papa della gente,Biography,Daniele Luchetti,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere
shinjuku incident,Action Crime Drama Thriller,Tung-Shing Yee,Bingbing Fan,Daniel Wu,Yasuaki Kurata
pandaemonium,Biography Drama,Julien Temple,Samantha Morton,Dexter Fletcher,Linus Roache
groundhog day,Comedy Fantasy Romance,Harold Ramis,Bill Murray,Chris Elliott,Willie Garson
magic mike xxl,Comedy Drama Music,Gregory Jacobs,Matt Bomer,Channing Tatum,Kevin Nash
romeo + juliet,Drama Romance,Baz Luhrmann,Leonardo DiCaprio,Harold Perrineau,Brian Dennehy
sarah's key,Drama War,Gilles Paquet-Brenner,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj
freedom,Drama Family Music,Peter Cousens,Sharon Leal,David Rasche,Bart Shatto
unforgiven,Drama Western,Clint Eastwood,Clint Eastwood,Morgan Freeman,Frances Fisher
manderlay,Drama,Lars von Trier,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr
slumdog millionaire,Drama Romance,Danny Boyle,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar
fatal attraction,Drama Romance Thriller,Adrian Lyne,Fred Gwynne,Lois Smith,Anne Archer
pretty woman,Comedy Romance,Garry Marshall,Julia Roberts,Hector Elizondo,Jason Alexander
towering inferno            ,Comedy,John Blanchard,Martin Short,Andrea Martin,Joe Flaherty
crocodile dundee ii,Action Adventure Comedy,John Cornell,Paul Hogan,Linda Kozlowski,John Meillon
broken horses,Action Crime Drama Mystery Thriller,Vidhu Vinod Chopra,María Valverde,Chris Marquette,Chad Bishop
born on the fourth of july,Biography Drama War,Oliver Stone,Tom Cruise,Tom Berenger,Stephen Baldwin
cool runnings,Adventure Comedy Family Sport,Jon Turteltaub,Doug E. Doug,Leon,Malik Yoba
my bloody valentine,Horror Thriller,Patrick Lussier,Jensen Ackles,Jaime King,Edi Gathegi
the possession,Horror Thriller,Ole Bornedal,Kyra Sedgwick,Madison Davenport,Natasha Calis
first blood,Action Adventure Drama,Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey
stomp the yard,Drama Music Romance,Sylvain White,Chris Brown,Laz Alonso,Harry Lennix
the spy who loved me,Action Adventure Sci-Fi Thriller,Lewis Gilbert,Caroline Munro,Desmond Llewelyn,Barbara Bach
ghost hunters            ,Documentary,unknown,Amy Bruni,Steve Gonsalves,Jason Hawes
urban legend,Horror Mystery Thriller,Jamie Blanks,Alicia Witt,Loretta Devine,Julian Richings
dangerous liaisons,Drama Romance,Stephen Frears,Keanu Reeves,Peter Capaldi,Swoosie Kurtz
good deeds,Comedy Drama Romance,Tyler Perry,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy
white fang,Adventure Drama,Randal Kleiser,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan
superstar,Comedy Romance,Bruce McCulloch,Will Ferrell,Elaine Hendrix,Molly Shannon
the iron lady,Biography Drama History,Phyllida Lloyd,Meryl Streep,Jim Broadbent,Olivia Colman
jonah: a veggietales movie,Adventure Animation Comedy Drama Family Musical,Mike Nawrocki,Phil Vischer,Mike Nawrocki,Shelby Vischer
poetic justice,Drama Romance,John Singleton,Janet Jackson,Khandi Alexander,Maya Angelou
all about the benjamins,Action Comedy Crime Thriller,Kevin Bray,Mike Epps,Roger Guenveur Smith,Gino Salvano
vampire in brooklyn,Comedy Fantasy Horror Romance,Wes Craven,John Witherspoon,W. Earl Brown,Allen Payne
exorcist ii: the heretic,Horror,John Boorman,Linda Blair,Richard Burton,Ned Beatty
an american haunting,Horror Mystery Thriller,Courtney Solomon,Sissy Spacek,James D'Arcy,Vernon Dobtcheff
my boss's daughter,Comedy Romance,David Zucker,Carmen Electra,Tyler Labine,Molly Shannon
a perfect getaway,Adventure Mystery Thriller,David Twohy,Chris Hemsworth,Milla Jovovich,Marley Shelton
our family wedding,Comedy Romance,Rick Famuyiwa,America Ferrera,Lance Gross,Lupe Ontiveros
dead man on campus,Comedy,Alan Cohn,Alyson Hannigan,Linda Cardellini,Poppy Montgomery
tea with mussolini,Comedy Drama War,Franco Zeffirelli,Lily Tomlin,Joan Plowright,Paolo Seganti
thinner,Fantasy Horror,Tom Holland,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer
"new york, new york",Drama Music Musical Romance,Martin Scorsese,Robert De Niro,Liza Minnelli,Mary Kay Place
crooklyn,Comedy Drama,Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington
i think i love my wife,Comedy Drama Romance,Chris Rock,Steve Buscemi,Eliza Coupe,Wendell Pierce
jason x,Action Horror Sci-Fi Thriller,James Isaac,Peter Mensah,Kane Hodder,Lexa Doig
big fat liar,Adventure Comedy Family,Shawn Levy,Frankie Muniz,Donald Faison,Lee Majors
bobby,Drama History,Emilio Estevez,Anthony Hopkins,Nick Cannon,Brian Geraghty
head over heels,Comedy Mystery Romance,Mark Waters,Monica Potter,Ivana Milicevic,China Chow
fun size,Adventure Comedy,Josh Schwartz,Thomas McDonell,Jackson Nicoll,Osric Chau
the diving bell and the butterfly,Biography Drama,Julian Schnabel,Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé
little children,Drama Romance,Todd Field,Kate Winslet,Noah Emmerich,Jane Adams
gossip,Drama Mystery Thriller,Davis Guggenheim,Norman Reedus,Sharon Lawrence,Noam Jenkins
a walk on the moon,Drama,Tony Goldwyn,Viggo Mortensen,Julie Kavner,Tovah Feldshuh
catch a fire,Biography Drama History,Phillip Noyce,Derek Luke,Terry Pheto,Bonnie Henna
soul survivors,Drama Horror Mystery Thriller,Stephen Carpenter,Melissa Sagemiller,Angela Featherstone,Candace Kroslak
jefferson in paris,Biography Drama History Romance,James Ivory,Seth Gilliam,Todd Boyce,Nigel Whitmey
easy virtue,Comedy Romance,Stephan Elliott,Colin Firth,Kristin Scott Thomas,Kris Marshall
caravans,Action Adventure History,James Fargo,Christopher Lee,Joseph Cotten,Behrouz Vossoughi
mr. turner,Biography Drama History,Mike Leigh,Lesley Manville,Ruth Sheen,Karl Johnson
wild grass,Drama Romance,Alain Resnais,Mathieu Amalric,Sara Forestier,Edouard Baer
amen.,Biography Crime Drama War,Costa-Gavras,Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe
reign of assassins,Action,Chao-Bin Su,Woo-sung Jung,Shawn Yue,Kelly Lin
the lucky ones,Comedy Drama War,Neil Burger,John Heard,Katherine LaNasa,Mark L. Young
margaret,Drama,Kenneth Lonergan,Matt Damon,Kieran Culkin,John Gallagher Jr.
stan helsing,Comedy Horror,Bo Zenga,Steve Howey,Kenan Thompson,Diora Baird
flipped,Comedy Drama Romance,Rob Reiner,Madeline Carroll,Rebecca De Mornay,Aidan Quinn
brokeback mountain,Drama Romance,Ang Lee,Jake Gyllenhaal,Heath Ledger,Anne Hathaway
teenage mutant ninja turtles,Action Adventure Comedy Sci-Fi,Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard
clueless,Comedy Romance,Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan
far from heaven,Drama Romance,Todd Haynes,Dennis Quaid,Celia Weston,Michael Gaston
hot tub time machine 2,Comedy Sci-Fi,Steve Pink,Adam Scott,Gillian Jacobs,Collette Wolfe
dekalog            ,Drama,unknown,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz
quills,Biography Drama,Philip Kaufman,Kate Winslet,Stephen Marcus,Amelia Warner
seven psychopaths,Comedy Crime,Martin McDonagh,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg
the caveman's valentine,Crime Drama Music Mystery Thriller,Kasi Lemmons,Colm Feore,Tamara Tunie,Aunjanue Ellis
the border            ,Action Crime Drama Thriller,unknown,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek
downfall,Biography Drama History War,Oliver Hirschbiegel,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara
the sea inside,Biography Drama Romance,Alejandro Amenábar,Belén Rueda,Lola Dueñas,Tamar Novas
under the skin,Drama Horror Sci-Fi Thriller,Jonathan Glazer,Scarlett Johansson,Paul Brannigan,Alison Chand
"good morning, vietnam",Biography Comedy Drama War,Barry Levinson,Robin Williams,J.T. Walsh,Bruno Kirby
the last godfather,Comedy,Hyung-rae Shim,Jason Mewes,Stephanie Danielson,Michael Rispoli
justin bieber: never say never,Documentary Music,Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men
black swan,Drama Thriller,Darren Aronofsky,Natalie Portman,Mila Kunis,Mark Margolis
robocop,Action Crime Sci-Fi Thriller,José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle
the godfather: part ii,Crime Drama,Francis Ford Coppola,Robert De Niro,Al Pacino,Robert Duvall
save the last dance,Drama Music Romance,Thomas Carter,Sean Patrick Thomas,Terry Kinney,Fredro Starr
a nightmare on elm street 4: the dream master,Fantasy Horror Thriller,Renny Harlin,Tuesday Knight,Rodney Eastman,Brooke Bundy
miracles from heaven,Drama,Patricia Riggen,Jennifer Garner,Brighton Sharbino,Martin Henderson
"dude, where's my car?",Comedy Mystery,Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff
young guns,Action Crime Drama Thriller Western,Christopher Cain,Jack Palance,Patrick Wayne,Brian Keith
st. vincent,Comedy Drama,Theodore Melfi,Bill Murray,Naomi Watts,Reg E. Cathey
about last night,Comedy Romance,Steve Pink,Joe Lo Truglio,Regina Hall,Bryan Callen
10 things i hate about you,Comedy Drama Romance,Gil Junger,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan
the new guy,Comedy,Ed Decter,Zooey Deschanel,Eddie Griffin,Gene Simmons
loaded weapon 1,Action Comedy Crime,Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn
the shallows,Drama Horror Thriller,Jaume Collet-Serra,Óscar Jaenada,Brett Cullen,Sedona Legge
the butterfly effect,Sci-Fi Thriller,Eric Bress,Logan Lerman,Eric Stoltz,Cameron Bright
snow day,Adventure Comedy Family,Chris Koch,Chris Elliott,Mark Webber,Jean Smart
this christmas,Comedy Drama Romance,Preston A. Whitmore II,Mekhi Phifer,Chris Brown,Loretta Devine
baby geniuses,Comedy Crime Family Sci-Fi,Bob Clark,Kathleen Turner,Dom DeLuise,Ruby Dee
the big hit,Action Comedy Crime Thriller,Kirk Wong,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.
harriet the spy,Comedy Drama Family,Bronwen Hughes,Gregory Smith,Eartha Kitt,Charlotte Sullivan
child's play 2,Fantasy Horror,John Lafia,Jenny Agutter,Beth Grant,Greg Germann
no good deed,Crime Thriller,Sam Miller,Leslie Bibb,Kate del Castillo,Henry Simmons
the mist,Horror,Frank Darabont,Toby Jones,Alexa Davalos,Jeffrey DeMunn
ex machina,Drama Mystery Sci-Fi Thriller,Alex Garland,Elina Alminas,Sonoya Mizuno,Corey Johnson
being john malkovich,Comedy Drama Fantasy,Spike Jonze,Willie Garson,Orson Bean,Mary Kay Place
two can play that game,Comedy Romance,Mark Brown,Mo'Nique,Vivica A. Fox,Tamala Jones
earth to echo,Adventure Family Sci-Fi,Dave Green,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford
crazy/beautiful,Drama Romance,John Stockwell,Kirsten Dunst,Jay Hernandez,Rolando Molina
letters from iwo jima,Drama History War,Clint Eastwood,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura
the astronaut farmer,Adventure Drama Sci-Fi,Michael Polish,J.K. Simmons,Virginia Madsen,Bruce Dern
woo,Comedy Romance,Daisy von Scherler Mayer,LL Cool J,Jada Pinkett Smith,Dave Chappelle
room,Drama,Lenny Abrahamson,Joan Allen,Jacob Tremblay,Cas Anvar
dirty work,Comedy,Bob Saget,Don Rickles,Jack Warden,Traylor Howard
serial mom,Comedy Crime Thriller,John Waters,Kathleen Turner,Sam Waterston,Traci Lords
dick,Comedy,Andrew Fleming,Ryan Reynolds,Will Ferrell,Kirsten Dunst
del 1 - män som hatar kvinnor            ,Action Crime Mystery Thriller,Niels Arden Oplev,Michael Nyqvist,David Dencik,Lena Endre
light it up,Drama Thriller,Craig Bolotin,Rosario Dawson,Vanessa Williams,Robert Ri'chard
54,Drama Music,Mark Christopher,Salma Hayek,Ellen Albertini Dow,Sela Ward
bubble boy,Adventure Comedy Romance Sci-Fi,Blair Hayes,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton
birthday girl,Comedy Crime Thriller,Jez Butterworth,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin
21 & over,Comedy,Jon Lucas,Justin Chon,Josie Loren,Sarah Wright
"paris, je t'aime",Comedy Drama Romance,Olivier Assayas,Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno
resurrecting the champ,Drama Sport,Rod Lurie,Harry Lennix,Kathryn Morris,Peter Coyote
admission,Comedy Drama Romance,Paul Weitz,Tina Fey,Sarita Choudhury,Christopher Evan Welch
the widow of saint-pierre,Drama Romance,Patrice Leconte,Emir Kusturica,Daniel Auteuil,Yves Jacques
chloe,Drama Mystery Romance Thriller,Atom Egoyan,Liam Neeson,Meghan Heffern,Natalie Lisinska
faithful,Comedy Crime Drama,Paul Mazursky,Chazz Palminteri,Ryan O'Neal,Paul Mazursky
brothers,Drama Thriller,Jim Sheridan,Natalie Portman,Jake Gyllenhaal,Ethan Suplee
find me guilty,Biography Comedy Crime Drama,Sidney Lumet,Peter Dinklage,Vin Diesel,Alex Rocco
the perks of being a wallflower,Drama Romance,Stephen Chbosky,Logan Lerman,Ezra Miller,Kate Walsh
excessive force,Action,Jon Hess,Burt Young,Ian Gomez,Thomas Ian Griffith
infamous,Biography Crime Drama,Douglas McGrath,Toby Jones,Isabella Rossellini,Hope Davis
the claim,Drama Romance Western,Michael Winterbottom,Milla Jovovich,Sarah Polley,Shirley Henderson
the vatican tapes,Horror Thriller,Mark Neveldine,Djimon Hounsou,Alison Lohman,Dougray Scott
attack the block,Action Comedy Sci-Fi Thriller,Joe Cornish,John Boyega,Luke Treadaway,Jodie Whittaker
in the land of blood and honey,Drama Romance War,Angelina Jolie Pitt,Jelena Jovanova,Nikola Djuricko,Branko Djuric
the call,Crime Thriller,Brad Anderson,Michael Imperioli,Tara Platt,Roma Maffia
operation chromite,Action Drama History War,John H. Lee,Liam Neeson,Dean Dawson,Jung-jae Lee
the crocodile hunter: collision course,Action Adventure Comedy Family,John Stainton,Steve Irwin,Aden Young,Steve Bastoni
i love you phillip morris,Biography Comedy Crime Drama Romance,Glenn Ficarra,Dameon Clarke,Louis Herthum,Annie Golden
quest for fire,Adventure Drama History,Jean-Jacques Annaud,Rae Dawn Chong,Everett McGill,Gary Schwartz
antwone fisher,Biography Drama,Denzel Washington,Denzel Washington,Kevin Connolly,Derek Luke
the emperor's club,Drama,Michael Hoffman,Gabriel Millman,Embeth Davidtz,Rob Morrow
true romance,Action Crime Drama Romance Thriller,Tony Scott,Brad Pitt,Gary Oldman,Michael Rapaport
womb,Drama Romance Sci-Fi,Benedek Fliegauf,Eva Green,Matt Smith,Hannah Murray
glengarry glen ross,Crime Drama Mystery,James Foley,Kevin Spacey,Al Pacino,Jude Ciccolella
the killer inside me,Crime Drama Thriller,Michael Winterbottom,Liam Aiken,Ned Beatty,Jay R. Ferguson
cat people,Fantasy Horror Thriller,Paul Schrader,Ed Begley Jr.,Ruby Dee,John Heard
sorority row,Horror Mystery,Stewart Hendler,Julian Morris,Margo Harshman,Rumer Willis
the prisoner of zenda,Adventure Drama Romance,John Cromwell,David Niven,Mary Astor,Ronald Colman
lars and the real girl,Comedy Drama Romance,Craig Gillespie,Ryan Gosling,Kelli Garner,Paul Schneider
the boy in the striped pajamas,Drama War,Mark Herman,Richard Johnson,Sheila Hancock,Cara Horgan
dancer in the dark,Crime Drama Musical,Lars von Trier,Catherine Deneuve,Udo Kier,Björk
oscar and lucinda,Drama Romance,Gillian Armstrong,Tom Wilkinson,Richard Roxburgh,Clive Russell
the funeral,Crime Drama,Abel Ferrara,Isabella Rossellini,Vincent Gallo,Gretchen Mol
solitary man,Comedy Drama Romance,Brian Koppelman,Jenna Fischer,David Costabile,Richard Schiff
machete,Action Crime Thriller,Ethan Maniquis,Robert De Niro,Don Johnson,Cheech Marin
casino jack,Biography Comedy Crime Drama,George Hickenlooper,Kevin Spacey,Eric Schweig,Christian Campbell
the land before time,Adventure Animation Family,Don Bluth,Judith Barsi,Gabriel Damon,Bill Erwin
tae guk gi: the brotherhood of war,Action Drama War,Je-kyu Kang,Min-sik Choi,Bin Won,Dong-gun Jang
